url,canonical,canonical_count,canonical_status,lang,lang_status,robots,noindex,hreflang,hreflang_count,hreflang_status,jsonld_types,jsonld_status,h1_count,title_present,description_present
/en/steel-warehouse/,https://zhongsai-steelstructure.com/en/steel-warehouse/,1,PASS,en,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/steel-warehouse/ | zh-CN=https://zhongsai-steelstructure.com/zh/steel-warehouse/ | x-default=https://zhongsai-steelstructure.com/en/steel-warehouse/,3,PASS,BreadcrumbList,PASS,1,True,True
/en/steel-workshop/,https://zhongsai-steelstructure.com/en/steel-workshop/,1,PASS,en,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/steel-workshop/ | zh-CN=https://zhongsai-steelstructure.com/zh/steel-workshop/ | x-default=https://zhongsai-steelstructure.com/en/steel-workshop/,3,PASS,BreadcrumbList,PASS,1,True,True
/en/terms/,https://zhongsai-steelstructure.com/en/terms/,1,PASS,en,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/terms/ | zh-CN=https://zhongsai-steelstructure.com/zh/terms/ | x-default=https://zhongsai-steelstructure.com/en/terms/,3,PASS,BreadcrumbList,PASS,1,True,True
/,/en/,1,FAIL,en,PASS,"noindex, follow",True,,0,PASS,,PASS,0,True,False
/zh/about/,https://zhongsai-steelstructure.com/zh/about/,1,PASS,zh-CN,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/about/ | zh-CN=https://zhongsai-steelstructure.com/zh/about/ | x-default=https://zhongsai-steelstructure.com/en/about/,3,PASS,BreadcrumbList,PASS,1,True,True
/zh/components/fabricated-steel-beams-columns/,https://zhongsai-steelstructure.com/zh/components/fabricated-steel-beams-columns/,1,PASS,zh-CN,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/components/fabricated-steel-beams-columns/ | zh-CN=https://zhongsai-steelstructure.com/zh/components/fabricated-steel-beams-columns/ | x-default=https://zhongsai-steelstructure.com/en/components/fabricated-steel-beams-columns/,3,PASS,BreadcrumbList,PASS,1,True,True
/zh/components/,https://zhongsai-steelstructure.com/zh/components/,1,PASS,zh-CN,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/components/ | zh-CN=https://zhongsai-steelstructure.com/zh/components/ | x-default=https://zhongsai-steelstructure.com/en/components/,3,PASS,BreadcrumbList,PASS,1,True,True
/zh/components/roof-wall-cladding-systems/,https://zhongsai-steelstructure.com/zh/components/roof-wall-cladding-systems/,1,PASS,zh-CN,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/components/roof-wall-cladding-systems/ | zh-CN=https://zhongsai-steelstructure.com/zh/components/roof-wall-cladding-systems/ | x-default=https://zhongsai-steelstructure.com/en/components/roof-wall-cladding-systems/,3,PASS,BreadcrumbList,PASS,1,True,True
/zh/components/steel-purlins/,https://zhongsai-steelstructure.com/zh/components/steel-purlins/,1,PASS,zh-CN,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/components/steel-purlins/ | zh-CN=https://zhongsai-steelstructure.com/zh/components/steel-purlins/ | x-default=https://zhongsai-steelstructure.com/en/components/steel-purlins/,3,PASS,,PASS,1,True,True
/zh/components/steel-trusses/,https://zhongsai-steelstructure.com/zh/components/steel-trusses/,1,PASS,zh-CN,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/components/steel-trusses/ | zh-CN=https://zhongsai-steelstructure.com/zh/components/steel-trusses/ | x-default=https://zhongsai-steelstructure.com/en/components/steel-trusses/,3,PASS,,PASS,1,True,True
/zh/contact/,https://zhongsai-steelstructure.com/zh/contact/,1,PASS,zh-CN,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/contact/ | zh-CN=https://zhongsai-steelstructure.com/zh/contact/ | x-default=https://zhongsai-steelstructure.com/en/contact/,3,PASS,BreadcrumbList,PASS,1,True,True
/zh/engineering-design/,https://zhongsai-steelstructure.com/zh/engineering-design/,1,PASS,zh-CN,PASS,"index, follow",False,en=https://zhongsai-steelstructure.com/en/engineering-design/ | zh-CN=https://zhongsai-steelstructure.com/zh/engineering-design/ | x-default=https://zhongsai-steelstructure.com/en/engineering-design/,3,PASS,BreadcrumbList,PASS,1,True,True
